time,open,high,low,close,Volume,Volume MA,Mkt сap,Total common shares outstanding
2017-06-28T23:00:00Z,2.7,2.7,2.65,2.7,53203,NaN,NaN,165000000
2017-06-29T23:00:00Z,2.68,2.95,2.68,2.95,21668,NaN,NaN,212409000
2017-07-02T23:00:00Z,3.02,3.08,3,3,61756,NaN,NaN,212409000
2017-07-03T23:00:00Z,3,3.02,2.99,3,64658,NaN,NaN,212409000
2017-07-04T23:00:00Z,3,3.2,2.99,3.18,443935,NaN,NaN,212409000
2017-07-05T23:00:00Z,3.2,3.2,3.13,3.15,308738,NaN,NaN,212409000
2017-07-06T23:00:00Z,3.15,3.18,3.06,3.11,261677,NaN,NaN,212409000
2017-07-09T23:00:00Z,3.15,3.15,2.85,2.93,431289,NaN,629233207,212409000
2017-07-10T23:00:00Z,2.89,3.07,2.89,3.01,274609,NaN,646413619,212409000
2017-07-11T23:00:00Z,3,3.05,3,3.03,153241,NaN,650708722,212409000
2017-07-12T23:00:00Z,3.03,3.13,3.03,3.05,1064230,NaN,655003825,212409000
2017-07-13T23:00:00Z,3.06,3.14,3.06,3.1,617484,NaN,665741583,212409000
2017-07-16T23:00:00Z,3.1,3.1,3.06,3.09,283953,NaN,663594031,212409000
2017-07-17T23:00:00Z,3.08,3.1,3.07,3.1,182952,NaN,665741583,212409000
2017-07-18T23:00:00Z,3.11,3.11,3.09,3.1,338625,NaN,665741583,212409000
2017-07-19T23:00:00Z,3.1,3.1,3.07,3.07,354679,NaN,659298928,212409000
2017-07-20T23:00:00Z,3.07,3.1,3.07,3.1,164878,NaN,665741583,212409000
2017-07-23T23:00:00Z,3.1,3.1,3.02,3.02,254877,NaN,648561171,212409000
2017-07-24T23:00:00Z,3.04,3.1,3.02,3.06,151920,NaN,657151377,212409000
2017-07-25T23:00:00Z,3.06,3.1,3.06,3.09,87030,278770.1,663594031,212409000
2017-07-26T23:00:00Z,3.09,3.1,3.05,3.09,115770,281898.45,663594031,212409000
2017-07-27T23:00:00Z,3.09,3.1,3.05,3.08,218704,291750.25,661446480,212409000
2017-07-30T23:00:00Z,3.08,3.1,3.05,3.1,172067,297265.8,665741583,212409000
2017-07-31T23:00:00Z,3.1,3.1,3.05,3.08,134267,300746.25,661446480,212409000
2017-08-01T23:00:00Z,3.08,3.08,3.03,3.05,100719,283585.45,655003825,212409000
2017-08-02T23:00:00Z,3.05,3.07,3.01,3.05,67434,271520.25,655003825,212409000
2017-08-03T23:00:00Z,3.07,3.08,3.02,3.07,80827,262477.75,659298928,212409000
2017-08-06T23:00:00Z,3.07,3.07,3.03,3.07,185869,250206.75,659298928,212409000
2017-08-07T23:00:00Z,3.07,3.07,3.03,3.05,266708,249811.7,655003825,212409000
2017-08-08T23:00:00Z,3.06,3.08,3.03,3.05,124166,248357.95,655003825,212409000
2017-08-09T23:00:00Z,3.05,3.07,3.01,3.04,201082,205200.55,652856274,212409000
2017-08-10T23:00:00Z,3.01,3.01,2.96,2.97,176465,183149.6,637971922,212409000
2017-08-13T23:00:00Z,2.96,3.04,2.95,3.04,232646,180584.25,653008283,212409000
2017-08-14T23:00:00Z,3.04,3.05,2.95,3,93835,176128.4,644416077,212409000
2017-08-15T23:00:00Z,3,3.01,2.94,3.01,104383,164416.3,646564128,212409000
2017-08-16T23:00:00Z,3.02,3.04,2.98,3,358010,164582.85,644416077,212409000
2017-08-17T23:00:00Z,3,3.05,2.94,3.05,202072,166442.55,655156334,212409000
2017-08-20T23:00:00Z,3.06,3.1,3.06,3.09,1255210,216459.2,663748541,212409000
2017-08-21T23:00:00Z,3.09,3.13,3.07,3.09,1163605,267043.45,663748541,212409000
2017-08-22T23:00:00Z,3.09,3.11,3.08,3.09,457114,285547.65,663748541,212409000
2017-08-23T23:00:00Z,3.09,3.24,3.05,3.24,2201751,389846.7,695969365,212409000
2017-08-24T23:00:00Z,3.32,3.64,3.31,3.6,1787174,468270.2,773299272,212409000
2017-08-27T23:00:00Z,3.62,3.725,3.53,3.54,772445,498289.1,760410962,212409000
2017-08-28T23:00:00Z,3.56,3.59,3.47,3.53,798835,531517.5,758262911,212409000
2017-08-29T23:00:00Z,3.58,3.73,3.57,3.66,1929362,622949.65,786187632,212409000
2017-08-30T23:00:00Z,3.7,3.89,3.66,3.77,1433269,691241.4,809816199,212409000
2017-08-31T23:00:00Z,3.84,3.9,3.82,3.86,1212541,747827.1,829148714,212409000
2017-09-03T23:00:00Z,3.89,3.89,3.8,3.85,381518,757609.55,827000611,212409000
2017-09-04T23:00:00Z,3.84,3.85,3.77,3.84,502613,769404.8,824852560,212409000
2017-09-05T23:00:00Z,3.83,3.84,3.79,3.8,931283,809760.65,816260354,212409000
2017-09-06T23:00:00Z,3.82,3.84,3.78,3.8,692996,834356.35,816260354,212409000
2017-09-07T23:00:00Z,3.85,3.88,3.81,3.87,468070,848936.6,831296714,212409000
2017-09-10T23:00:00Z,3.88,3.88,3.85,3.87,301910,852399.8,831296714,212409000
2017-09-11T23:00:00Z,3.87,4,3.87,4,525505,873983.3,859221436,212409000
2017-09-12T23:00:00Z,4.15,4.42,4.15,4.38,1908638,964196.05,940847496.9999999,212409000
2017-09-13T23:00:00Z,4.48,4.75,4.48,4.6,1595031,1026047.1,988104630,212409000
2017-09-14T23:00:00Z,4.6,4.63,4.44,4.45,2700843,1150985.65,955883806,212409000
2017-09-17T23:00:00Z,4.45,4.48,4.26,4.28,535685,1115009.4,919613060,212409000
2017-09-18T23:00:00Z,4.25,4.46,4.23,4.34,651779,1089418.1,932504818.9999999,212409000
2017-09-19T23:00:00Z,4.36,4.39,4.27,4.28,382973,1085711.05,919613060,212409000
2017-09-20T23:00:00Z,4.34,4.44,4.3,4.34,820437,1016645.35,932504818.9999999,212409000
2017-09-21T23:00:00Z,4.36,4.4,4.27,4.3,352502,944911.75,923910312.9999999,212409000
2017-09-24T23:00:00Z,4.32,4.35,4.25,4.25,452671,928923.05,913167130,212409000
2017-09-25T23:00:00Z,4.22,4.23,4.07,4.15,594756,918719.1,891680865,212409000
2017-09-26T23:00:00Z,4.36,4.4,4.1,4.11,1097857,877143.85,883086359,212409000
2017-09-27T23:00:00Z,4.18,4.18,4.03,4.08,1669989,888979.85,876640428,212409000
2017-09-28T23:00:00Z,4.14,4.21,4.09,4.18,303129,843509.25,898126693,212409000
2017-10-01T22:00:00Z,4.23,4.33,4.2,4.31,221777,835522.2,926058888,212409000
2017-10-02T22:00:00Z,4.33,4.38,4.17,4.2,469718,833877.45,902423946,212409000
2017-10-03T22:00:00Z,4.2,4.25,4.15,4.22,321997,803413.15,906721199,212409000
2017-10-04T22:00:00Z,4.22,4.23,4.12,4.13,448199,791173.3,887383612,212409000
2017-10-05T22:00:00Z,4.16,4.3,4.15,4.27,207375,778138.55,917464382,212409000
2017-10-08T22:00:00Z,4.3,4.47,4.27,4.34,294785,777782.3,932504818.9999999,212409000
2017-10-09T22:00:00Z,4.36,4.38,4.23,4.29,296042,766309.15,921761635,212409000
2017-10-10T22:00:00Z,4.31,4.35,4.21,4.3,301782,685966.35,923910312.9999999,212409000
2017-10-11T22:00:00Z,4.32,4.38,4.32,4.37,411282,626778.9,938950647,212409000
2017-10-12T22:00:00Z,4.37,4.37,4.29,4.32,332867,508380.1,928207566.0000001,212409000
