time,open,high,low,close,Volume,Volume MA,Mkt сap,Total common shares outstanding
2011-07-13T00:00:00Z,6.3,6.4,6.27,6.38,6326212,13803056.4,NaN,NaN
2011-07-14T00:00:00Z,6.42,6.52,6.39,6.42,14044860,13237785.4,NaN,NaN
2011-07-15T00:00:00Z,6.4,6.5,6.27,6.41,12917400,13233847.9,NaN,NaN
2011-07-18T00:00:00Z,6.41,6.44,6.36,6.4,4736279,13097264.15,NaN,NaN
2011-07-19T00:00:00Z,6.37,6.43,6.35,6.4,9223870,13155840.9,NaN,NaN
2011-07-20T00:00:00Z,6.46,6.57,6.46,6.53,10808460,13196085.4,NaN,NaN
2011-07-21T00:00:00Z,6.59,6.62,6.5,6.52,16128530,13249652.9,NaN,NaN
2011-07-22T00:00:00Z,6.6,6.65,6.57,6.64,19280820,13291099.9,NaN,NaN
2011-07-25T00:00:00Z,6.59,6.65,6.56,6.58,12356120,13009065.9,NaN,NaN
2011-07-26T00:00:00Z,6.68,6.74,6.63,6.63,22680730,13311386.9,NaN,NaN
2011-07-27T00:00:00Z,6.62,6.67,6.5,6.53,11875800,12881868.9,NaN,NaN
2011-07-28T00:00:00Z,6.43,6.5,6.41,6.46,8978234,12784055.1,NaN,NaN
2011-07-29T00:00:00Z,6.46,6.47,6.31,6.31,11418460,12727045.6,NaN,NaN
2011-08-01T00:00:00Z,6.4,6.56,6.39,6.51,16978710,12747718.1,NaN,NaN
2011-08-02T00:00:00Z,6.45,6.5,6.41,6.47,13454640,12725243.6,NaN,NaN
2011-08-03T00:00:00Z,6.24,6.27,6.19,6.21,20356640,12693388.1,NaN,NaN
2011-08-04T00:00:00Z,6.25,6.27,6.12,6.13,10885440,12950973.35,NaN,NaN
2011-08-05T00:00:00Z,5.76,5.82,5.66,5.74,27041180,13423903.35,NaN,NaN
2011-08-08T00:00:00Z,5.53,5.92,5.52,5.59,23177580,14102710.45,NaN,NaN
2011-08-09T00:00:00Z,5.25,5.75,5.05,5.74,37746270,15520811.75,NaN,NaN
2011-08-10T00:00:00Z,6.05,6.09,5.88,5.88,18949160,16151959.15,NaN,NaN
2011-08-11T00:00:00Z,5.54,5.88,5.54,5.79,16725930,16286012.65,NaN,NaN
2011-08-12T00:00:00Z,5.95,6.01,5.89,5.94,13988460,16339565.65,NaN,NaN
2011-08-15T00:00:00Z,6.01,6.15,6.01,6.14,9925051,16599004.25,NaN,NaN
2011-08-16T00:00:00Z,6.17,6.19,6.08,6.12,10582390,16666930.25,NaN,NaN
2011-08-17T00:00:00Z,6.14,6.24,6.12,6.24,7410781,16497046.3,NaN,NaN
2011-08-18T00:00:00Z,6.28,6.28,6.04,6.05,9660655,16173652.55,NaN,NaN
2011-08-19T00:00:00Z,5.8,5.88,5.69,5.75,14259560,15922589.55,NaN,NaN
2011-08-22T00:00:00Z,5.76,5.89,5.6,5.6,14260520,16017809.55,NaN,NaN
2011-08-23T00:00:00Z,5.72,5.84,5.6,5.83,13578660,15562706.05,NaN,NaN
2011-08-24T00:00:00Z,5.92,5.95,5.74,5.76,10506530,15494242.55,NaN,NaN
2011-08-25T00:00:00Z,5.85,5.87,5.765,5.8,8471038,15468882.75,NaN,NaN
2011-08-26T00:00:00Z,5.78,5.87,5.76,5.77,9387740,15367346.75,NaN,NaN
2011-08-29T00:00:00Z,5.82,5.93,5.81,5.9,5736114,14805216.95,NaN,NaN
2011-08-30T00:00:00Z,6.01,6.03,5.96,5.99,7743565,14519663.2,NaN,NaN
2011-08-31T00:00:00Z,6.01,6.05,5.86,6.05,10501610,14026911.7,NaN,NaN
2011-09-01T00:00:00Z,6.08,6.19,6.06,6.15,12335790,14099429.2,NaN,NaN
2011-09-02T00:00:00Z,6.14,6.16,6.07,6.11,8069194,13150829.9,NaN,NaN
2011-09-05T00:00:00Z,5.98,6.04,5.91,6.01,10707720,12527336.9,NaN,NaN
2011-09-06T00:00:00Z,5.89,6.02,5.88,6.02,13010010,11290523.9,NaN,NaN
2011-09-07T00:00:00Z,6.1,6.21,6.09,6.18,11514130,10918772.4,NaN,NaN
2011-09-08T00:00:00Z,6.25,6.26,6.12,6.19,15260910,10845521.4,NaN,NaN
2011-09-09T00:00:00Z,6.18,6.27,6.15,6.21,17374830,11014839.9,NaN,NaN
