time,open,high,low,close,Volume,Volume MA,Mkt сap,Total common shares outstanding
2016-07-07T00:00:00Z,1.8,1.8,1.495,1.5,4741942,NaN,NaN,93333334
2016-07-08T00:00:00Z,1.5,1.57,1.46,1.515,1865397,NaN,NaN,93333334
2016-07-11T00:00:00Z,1.56,1.64,1.56,1.64,631444,NaN,NaN,93333334
2016-07-12T00:00:00Z,1.66,1.69,1.6,1.6,917260,NaN,NaN,93333334
2016-07-13T00:00:00Z,1.605,1.64,1.585,1.6,250349,NaN,NaN,93333334
2016-07-14T00:00:00Z,1.6,1.6,1.525,1.55,536815,NaN,NaN,93333334
2016-07-15T00:00:00Z,1.555,1.59,1.555,1.59,212734,NaN,NaN,93333334
2016-07-18T00:00:00Z,1.59,1.595,1.55,1.55,203543,NaN,NaN,93333334
2016-07-19T00:00:00Z,1.55,1.55,1.52,1.52,214177,NaN,NaN,93333334
2016-07-20T00:00:00Z,1.53,1.54,1.5,1.5,428909,NaN,NaN,93333334
2016-07-21T00:00:00Z,1.51,1.51,1.46,1.47,265876,NaN,NaN,93333334
2016-07-22T00:00:00Z,1.5,1.5,1.47,1.475,98298,NaN,NaN,93333334
2016-07-25T00:00:00Z,1.485,1.49,1.465,1.465,102519,NaN,NaN,93333334
2016-07-26T00:00:00Z,1.465,1.5,1.45,1.5,235227,NaN,NaN,93333334
2016-07-27T00:00:00Z,1.5,1.515,1.48,1.5,311046,NaN,NaN,93333334
2016-07-28T00:00:00Z,1.495,1.525,1.49,1.5,164447,NaN,NaN,93333334
2016-07-29T00:00:00Z,1.51,1.525,1.49,1.49,507460,NaN,NaN,93333334
2016-08-01T00:00:00Z,1.52,1.535,1.51,1.53,80127,NaN,NaN,93333334
2016-08-02T00:00:00Z,1.54,1.545,1.53,1.54,93884,NaN,NaN,93333334
2016-08-03T00:00:00Z,1.545,1.57,1.54,1.55,87307,597438.05,NaN,93333334
2016-08-04T00:00:00Z,1.58,1.59,1.55,1.59,177820,369231.95,NaN,93333334
2016-08-05T00:00:00Z,1.59,1.6,1.575,1.58,231200,287522.1,NaN,93333334
2016-08-08T00:00:00Z,1.585,1.59,1.58,1.59,101041,261001.95,NaN,93333334
2016-08-09T00:00:00Z,1.59,1.59,1.565,1.575,127061,221492,NaN,93333334
2016-08-10T00:00:00Z,1.575,1.585,1.57,1.575,117429,214846,NaN,93333334
2016-08-11T00:00:00Z,1.57,1.575,1.57,1.57,65405,191275.5,NaN,93333334
2016-08-12T00:00:00Z,1.58,1.59,1.575,1.585,144830,187880.3,NaN,93333334
2016-08-15T00:00:00Z,1.585,1.59,1.565,1.575,102030,182804.65,NaN,93333334
2016-08-16T00:00:00Z,1.575,1.58,1.565,1.57,138735,179032.55,NaN,93333334
2016-08-17T00:00:00Z,1.56,1.58,1.56,1.565,60391,160606.65,NaN,93333334
2016-08-18T00:00:00Z,1.56,1.595,1.55,1.595,82155,151420.6,NaN,93333334
2016-08-19T00:00:00Z,1.595,1.68,1.59,1.67,161305,154570.95,NaN,93333334
2016-08-22T00:00:00Z,1.67,1.67,1.61,1.67,68364,152863.2,NaN,93333334
2016-08-23T00:00:00Z,1.69,1.73,1.67,1.67,363400,159271.85,NaN,93333334
2016-08-24T00:00:00Z,1.685,1.73,1.68,1.73,401147,163776.9,NaN,93333334
2016-08-25T00:00:00Z,1.73,1.76,1.71,1.75,385538,174831.45,NaN,93333334
2016-08-26T00:00:00Z,1.75,1.75,1.725,1.725,79675,153442.2,NaN,93333334
2016-08-29T00:00:00Z,1.735,1.74,1.7,1.715,53112,152091.45,NaN,93333334
2016-08-30T00:00:00Z,1.73,1.73,1.7,1.705,69427,150868.6,NaN,93333334
2016-08-31T00:00:00Z,1.705,1.72,1.705,1.715,43748,148690.65,NaN,93333334
2016-09-01T00:00:00Z,1.7,1.71,1.7,1.7,21541,140876.7,NaN,93333334
2016-09-02T00:00:00Z,1.7,1.7,1.65,1.65,520812,155357.3,NaN,93333334
2016-09-05T00:00:00Z,1.66,1.695,1.65,1.69,13595,150985,NaN,93333334
2016-09-06T00:00:00Z,1.685,1.69,1.65,1.685,244704,156867.15,NaN,93333334
2016-09-07T00:00:00Z,1.68,1.685,1.65,1.67,121229,157057.15,NaN,93333334
2016-09-08T00:00:00Z,1.67,1.68,1.63,1.63,62450,156909.4,NaN,93333334
2016-09-09T00:00:00Z,1.64,1.64,1.61,1.61,36345,151485.15,NaN,93333334
2016-09-12T00:00:00Z,1.6,1.6,1.54,1.54,148420,153804.65,NaN,93333334
2016-09-13T00:00:00Z,1.55,1.61,1.55,1.605,22861,148010.95,NaN,93333334
2016-09-14T00:00:00Z,1.605,1.605,1.55,1.55,42434,147113.1,NaN,93333334
2016-09-15T00:00:00Z,1.56,1.572,1.55,1.57,41519,145081.3,NaN,93333334
2016-09-16T00:00:00Z,1.57,1.57,1.535,1.535,51157,139573.9,NaN,93333334
2016-09-19T00:00:00Z,1.54,1.59,1.535,1.54,13130,136812.2,NaN,93333334
2016-09-20T00:00:00Z,1.55,1.585,1.53,1.545,73912,122337.8,NaN,93333334
2016-09-21T00:00:00Z,1.55,1.565,1.54,1.54,50359,104798.4,NaN,93333334
2016-09-22T00:00:00Z,1.545,1.55,1.54,1.545,28189,86930.95,NaN,93333334
2016-09-23T00:00:00Z,1.545,1.595,1.53,1.545,89474,87420.9,NaN,93333334
2016-09-26T00:00:00Z,1.53,1.53,1.5,1.5,216801,95605.35,NaN,93333334
2016-09-27T00:00:00Z,1.5,1.5,1.48,1.48,36054,93936.7,NaN,93333334
2016-09-28T00:00:00Z,1.48,1.48,1.46,1.46,114459,97472.25,NaN,93333334
2016-09-29T00:00:00Z,1.46,1.55,1.46,1.52,218646,107327.5,NaN,93333334
2016-09-30T00:00:00Z,1.535,1.535,1.52,1.52,11014,81837.6,NaN,93333334
2016-10-02T23:00:00Z,1.55,1.55,1.5,1.5,6806,81498.15,NaN,93333334
2016-10-03T23:00:00Z,1.5,1.51,1.5,1.51,21001,70313,NaN,93333334
2016-10-04T23:00:00Z,1.53,1.55,1.53,1.55,42000,66351.55,NaN,93333334
2016-10-05T23:00:00Z,1.555,1.595,1.555,1.595,268255,76641.8,NaN,93333334
2016-10-06T23:00:00Z,1.595,1.61,1.595,1.61,67500,78199.55,NaN,93333334
2016-10-09T23:00:00Z,1.61,1.61,1.57,1.57,37357,72646.4,NaN,93333334
2016-10-10T23:00:00Z,1.57,1.57,1.5,1.5,94979,76252.3,NaN,93333334
2016-10-11T23:00:00Z,1.51,1.56,1.51,1.54,9113,74586.25,NaN,93333334
2016-10-12T23:00:00Z,1.505,1.505,1.5,1.5,79361,76478.35,140004879,93333334
2016-10-13T23:00:00Z,1.54,1.54,1.505,1.52,2700,74055.5,141871609,93333334
2016-10-16T23:00:00Z,1.53,1.53,1.48,1.48,182500,82524,138138149,93333334
2016-10-17T23:00:00Z,1.485,1.525,1.48,1.48,56094,81633.1,138138149,93333334
2016-10-18T23:00:00Z,1.52,1.52,1.48,1.5,67584,82494.35,140004879,93333334
2016-10-19T23:00:00Z,1.52,1.57,1.52,1.57,191550,90662.4,146538434,93333334
2016-10-20T23:00:00Z,1.56,1.59,1.56,1.59,63055,89341.45,148405164,93333334
2016-10-23T23:00:00Z,1.59,1.63,1.59,1.63,104059,83704.35,152138635,93333334
2016-10-24T23:00:00Z,1.64,1.65,1.585,1.585,116456,87724.45,147938492,93333334
2016-10-25T23:00:00Z,1.57,1.57,1.55,1.565,64491,85226.05,146071762,93333334
2016-10-26T23:00:00Z,1.565,1.57,1.535,1.565,186262,83606.85,146071762,93333334
2016-10-27T23:00:00Z,1.55,1.57,1.54,1.555,37874,84949.85,145138397,93333334
2016-10-30T23:00:00Z,1.57,1.57,1.55,1.55,173675,93293.3,144671704,93333334
2016-11-01T23:00:00Z,1.55,1.55,1.53,1.53,9467,92716.6,142804974,93333334
2016-11-02T23:00:00Z,1.52,1.52,1.48,1.48,182088,99721,138138149,93333334
2016-11-03T23:00:00Z,1.485,1.495,1.48,1.48,87090,90662.75,138138149,93333334
2016-11-06T23:00:00Z,1.5,1.5,1.46,1.47,83899,91482.7,137204784,93333334
2016-11-07T23:00:00Z,1.47,1.49,1.47,1.48,28807,91055.2,138138149,93333334
2016-11-08T23:00:00Z,1.48,1.48,1.4,1.405,153948,94003.65,131137901.00000001,93333334
2016-11-09T23:00:00Z,1.5,1.5,1.475,1.475,8163,93956.15,137671467,93333334
2016-11-10T23:00:00Z,1.48,1.48,1.475,1.475,16751,90825.65,137671467,93333334
2016-11-13T23:00:00Z,1.49,1.49,1.45,1.45,21000,91740.65,135338054,93333334
2016-11-14T23:00:00Z,1.48,1.49,1.45,1.47,20000,83615.65,137204784,93333334
2016-11-15T23:00:00Z,1.49,1.49,1.435,1.47,64192,84020.55,137204784,93333334
2016-11-16T23:00:00Z,1.47,1.47,1.43,1.45,25780,81930.35,135338054,93333334
2016-11-17T23:00:00Z,1.48,1.49,1.47,1.48,126345,78670.1,138138149,93333334
2016-11-20T23:00:00Z,1.49,1.49,1.48,1.48,5493,75792,137204784,93333334
2016-11-21T23:00:00Z,1.475,1.48,1.45,1.46,72977,74237.9,136271419,93333334
2016-11-22T23:00:00Z,1.46,1.475,1.45,1.465,15515,69190.85,136738102,93333334
2016-11-23T23:00:00Z,1.45,1.465,1.425,1.425,78163,69874.45,133004631,93333334
2016-11-24T23:00:00Z,1.45,1.45,1.44,1.45,99000,65511.35,135338054,93333334
2016-11-27T23:00:00Z,1.435,1.44,1.42,1.44,58123,66523.8,134404689,93333334
2016-11-28T23:00:00Z,1.425,1.425,1.4,1.4,58550,60767.55,130671218.00000001,93333334
2016-11-29T23:00:00Z,1.4,1.4,1.355,1.355,191486,69868.5,126471076,93333334
2016-11-30T23:00:00Z,1.35,1.36,1.325,1.36,80254,64776.8,126937758.00000001,93333334
2016-12-01T23:00:00Z,1.36,1.36,1.32,1.345,83521,64598.35,125537710.99999999,93333334
2016-12-04T23:00:00Z,1.35,1.35,1.335,1.35,28025,61804.65,126004393,93333334
2016-12-05T23:00:00Z,1.35,1.36,1.35,1.35,49391,62833.85,126004393,93333334
2016-12-06T23:00:00Z,1.36,1.43,1.36,1.43,74449,58858.9,133471324.00000003,93333334
2016-12-07T23:00:00Z,1.43,1.5,1.43,1.45,85542,62727.85,135338054,93333334
2016-12-08T23:00:00Z,1.45,1.45,1.355,1.45,55529,64666.75,135338054,93333334
2016-12-11T23:00:00Z,1.45,1.45,1.435,1.435,411439,84188.7,133937996.00000001,93333334
2016-12-12T23:00:00Z,1.42,1.435,1.42,1.435,12549,83816.15,133937996.00000001,93333334
2016-12-13T23:00:00Z,1.42,1.42,1.34,1.35,25358,81874.45,126004393,93333334
2016-12-14T23:00:00Z,1.36,1.37,1.36,1.36,23000,81735.45,126937758.00000001,93333334
2016-12-15T23:00:00Z,1.36,1.387,1.35,1.35,17603,76298.35,126004393,93333334
2016-12-18T23:00:00Z,1.345,1.355,1.34,1.34,310758,91561.6,125071028,93333334
2016-12-19T23:00:00Z,1.34,1.34,1.34,1.34,57056,90765.55,125071028,93333334
2016-12-20T23:00:00Z,1.34,1.4,1.34,1.34,16009,90790.25,125071028,93333334
2016-12-21T23:00:00Z,1.39,1.397,1.345,1.345,3780,87071.1,125537710.99999999,93333334
2016-12-22T23:00:00Z,1.37,1.4,1.37,1.4,7000,82471.1,130671218.00000001,93333334
2016-12-27T23:00:00Z,1.395,1.395,1.345,1.345,17823,80456.1,125537710.99999999,93333334
2016-12-28T23:00:00Z,1.34,1.385,1.33,1.34,164230,85740.1,125071028,93333334
2016-12-29T23:00:00Z,1.345,1.345,1.33,1.34,26350,77483.3,125071028,93336581
2017-01-02T23:00:00Z,1.35,1.37,1.35,1.35,16170,74279.1,126004393,93336581
2017-01-03T23:00:00Z,1.35,1.35,1.35,1.35,25500,71378.05,126004393,93336581
2017-01-04T23:00:00Z,1.37,1.435,1.36,1.435,353583,87655.95,133937996.00000001,93336581
2017-01-05T23:00:00Z,1.4,1.41,1.38,1.38,10903,85731.55,128804487.99999999,93336581
2017-01-08T23:00:00Z,1.385,1.4,1.38,1.38,76365,85827.35,128804487.99999999,93336581
2017-01-09T23:00:00Z,1.38,1.45,1.38,1.43,839792,123539.85,133471324.00000003,93336581
2017-01-10T23:00:00Z,1.44,1.475,1.44,1.47,32897,122408.25,137204784,93336581
2017-01-11T23:00:00Z,1.445,1.46,1.445,1.46,8460,102259.3,136271419,93336581
2017-01-12T23:00:00Z,1.45,1.49,1.44,1.49,44517,103857.7,139071514,93336581
2017-01-15T23:00:00Z,1.52,1.625,1.52,1.62,644368,134808.2,151205270,93336581
2017-01-16T23:00:00Z,1.62,1.69,1.62,1.68,460757,156696.05,156805471,93336581
2017-01-17T23:00:00Z,1.68,1.68,1.63,1.66,63428,158987.3,154938741,93336581
2017-01-18T23:00:00Z,1.66,1.66,1.6,1.62,112855,149092.15,151205270,93336581
2017-01-19T23:00:00Z,1.635,1.65,1.62,1.65,18989,147188.8,154005365,93336581
2017-01-22T23:00:00Z,1.645,1.645,1.59,1.615,208999,156838.3,150738587,93336581
2017-01-23T23:00:00Z,1.59,1.63,1.585,1.63,15789,157438.75,152138635,93336581
2017-01-24T23:00:00Z,1.6,1.62,1.58,1.61,23461,158261.8,150271905,93336581
2017-01-26T23:00:00Z,1.59,1.59,1.58,1.58,16150,158178.15,147471799,93336581
2017-01-29T23:00:00Z,1.59,1.59,1.59,1.59,12500,150591.65,148405164,93336581
2017-01-30T23:00:00Z,1.55,1.55,1.52,1.53,15812,150064.75,142804974,93336581
2017-01-31T23:00:00Z,1.535,1.54,1.535,1.54,12556,149884.05,143738339,93336581
2017-02-01T23:00:00Z,1.535,1.535,1.51,1.51,26165,149917.3,140938244,93336581
2017-02-02T23:00:00Z,1.54,1.54,1.53,1.53,30200,133748.15,142804974,93336581
